DWS TOP DIVIDENDE;;;;;;
WKN: 984811;;;;;;
ISIN: DE0009848119;;;;;;
Typ: Fonds;;;;;;
Quelle: http://www.ariva.de/dws_top_dividende-fonds/historische_kurse;;;;;;
Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
15.08.2020;91,5;91,5;90,49;91,07;130;11.820
14.08.2020;91,23;91,55;91,17;91,2;3.122;284.947
13.08.2020;91,2;91,2;90,24;90,89;3.641;331.317
10.08.2020;90,12;90,71;90;90,71;2.255;203.577
09.08.2020;90,27;90,41;89,82;90,41;358;32.279
08.08.2020;89,93;90,31;89,75;89,85;2.945;264.938
07.08.2020;90,1;90,8;90,05;90,75;311;28.100
06.08.2020;90,2;91,66;90,2;91,66;352;32.129
03.08.2020;88,57;90,34;88,57;89,91;1.060;95.509
02.08.2020;89,88;89,89;88,91;88,91;4.158;372.777
01.08.2020;89;90,28;89;89,88;1.207;108.572
31.07.2020;90,49;90,49;89,29;89,95;365;32.873
30.07.2020;89,9;89,98;88,89;89,22;240;21.491
27.07.2020;89,6;89,67;88,54;88,63;91;8.105
26.07.2020;88,98;89,2;88,07;88,6;517;45.848
25.07.2020;88,71;88,71;88,02;88,21;1.080;95.470
24.07.2020;87,89;89,1;87,89;88,15;1.309;116.315
23.07.2020;89,12;89,12;87,27;88,01;1.706;150.179
20.07.2020;88,69;89,67;88,69;88,77;203;18.143
19.07.2020;89,75;89,75;88,73;89,68;646;57.716
18.07.2020;88;88,39;87,94;87,95;1.186;104.473
17.07.2020;87,79;88,69;87,79;88,69;664;58.650
16.07.2020;87,81;88,27;87,52;87,63;765;67.314
13.07.2020;86,56;87,99;86,56;87,99;2.165;189.656
12.07.2020;87,01;87,34;86,58;87,27;1.270;110.453
11.07.2020;86,43;87,36;86,43;87,36;623;54.227
10.07.2020;86,61;87,56;86,61;86,85;2.260;196.860
09.07.2020;86,69;86,88;86,38;86,78;120;10.415
06.07.2020;85,83;86,87;85,83;86,48;517;44.888
05.07.2020;86,43;86,65;86,02;86,4;1.157;100.119
04.07.2020;85,95;86,36;85,61;86,32;637;54.982
03.07.2020;85,39;86,54;85,39;86,54;546;46.925
02.07.2020;84,81;85,99;84,81;85,99;766;65.634
29.06.2020;84,76;85;84,21;84,96;1.147;97.148
28.06.2020;84,03;84,43;83,74;84,07;1.627;136.739
27.06.2020;83,48;84,2;83,47;83,94;406;34.106
26.06.2020;83,26;83,58;83;83;129;10.782
25.06.2020;83,47;83,76;83;83;207;17.289
22.06.2020;83,25;84,41;83,25;83,79;152;12.732
21.06.2020;84,28;84,28;83,88;84;216;18.186
20.06.2020;85,49;85,49;83,98;85,16;342;28.854
19.06.2020;83,39;85;83,39;85;715;60.324
18.06.2020;83,44;84,15;83,44;84,14;1.108;93.021
15.06.2020;83,16;83,79;83,12;83,78;441;36.859
14.06.2020;82,91;83,22;82,59;83,01;720;59.660
13.06.2020;83,23;84,02;83,04;83,09;1.534;128.224
12.06.2020;82,5;83,12;82,34;83,12;260;21.599
11.06.2020;83,14;83,74;82,88;82,88;685;57.233
08.06.2020;81,6;82,88;81,6;82,13;1.048;85.873
07.06.2020;81,6;82,88;81,6;82,37;1.011;82.816
06.06.2020;81,6;82,05;81,6;81,82;932;76.268
05.06.2020;81,31;81,73;81,25;81,42;658;53.667
04.06.2020;80,7;81,61;80,7;81,03;549;44.698
01.06.2020;83,1;83,14;81,37;82,22;939;77.160
31.05.2020;82,81;83,4;82,55;82,55;507;42.133
30.05.2020;82,85;83,42;82,52;83,42;803;66.647
29.05.2020;82,58;83,95;82,58;82,99;384;32.134
25.05.2020;82,22;83,38;82,22;82,58;415;34.577
24.05.2020;82,7;83,29;81,91;83,29;360;29.693
23.05.2020;81,57;82,34;81,29;81,29;1.439;118.467
22.05.2020;81,6;82,67;81,6;82,53;1.330;109.661
21.05.2020;81,07;82,4;81,07;82,04;482;39.379
18.05.2020;81,97;82,73;81,69;82,4;2.193;179.927
16.05.2020;82,6;82,6;82,4;82,4;212;17.461
15.05.2020;82,73;83,21;82,69;82,69;786;65.374
14.05.2020;83,37;83,37;82,5;82,5;1.455;120.511
11.05.2020;83,58;83,58;82,71;83,32;354;29.382
10.05.2020;82,77;83,77;82,7;83,77;617;51.658
09.05.2020;83,12;83,12;82,64;83,02;30;2.479
08.05.2020;83,57;84,08;82,8;82,8;1.880;157.659
07.05.2020;82,59;83,64;82,52;83,64;190;15.736
04.05.2020;83,5;83,9;83,45;83,56;855;71.383
03.05.2020;84,22;84,28;83,47;83,47;788;66.156
02.05.2020;83,45;83,54;83,18;83,18;70;5.846
30.04.2020;83,54;83,6;83,21;83,21;176;14.700
27.04.2020;82,76;84,11;82,76;84,11;112;9.420
26.04.2020;82,62;83,3;82,58;82,66;1.886;157.010
25.04.2020;82,62;83,18;82,54;82,54;230;19.112
24.04.2020;82,5;82,5;82,13;82,13;30;2.474
23.04.2020;82,82;82,82;82,05;82,06;1.418;116.911
20.04.2020;82,18;82,53;82,18;82,42;48;3.960
19.04.2020;82,8;83,31;82,67;82,67;1.252;104.275
18.04.2020;82,78;84,2;82,71;82,8;366;30.445
17.04.2020;83,33;83,45;82,5;83,45;2.654;220.157
16.04.2020;82,48;83,06;82,17;82,4;1.530;126.545
13.04.2020;82,5;82,75;82,14;82,58;384;31.681
12.04.2020;82,05;82,5;81,82;82,5;1.032;84.890
11.04.2020;81,47;82,54;81,47;82,11;737;60.730
10.04.2020;83,58;83,58;81,88;82,15;1.870;154.222
05.04.2020;82,9;83,76;82,69;83,02;697;57.820
04.04.2020;83,24;83,95;82,5;82,63;964;79.964
03.04.2020;83,79;83,79;83,45;83,45;31;2.591
02.04.2020;84,62;84,62;83,29;83,73;620;52.111
30.03.2020;83,13;83,38;83;83,38;;
29.03.2020;83,64;83,64;83,05;83,05;428;35.611
28.03.2020;83,72;84,2;83,49;83,49;7;589
27.03.2020;84;84,52;83,9;83,9;67;5.634
26.03.2020;83,31;83,71;83,19;83,42;1.043;87.185
23.03.2020;83,3;83,74;83,17;83,74;10;837
22.03.2020;83,6;83,79;83,18;83,5;2.493;208.855
21.03.2020;84,43;84,43;83,69;83,97;3.281;275.635
20.03.2020;84,3;84,72;84,3;84,31;350;29.590
19.03.2020;84,89;84,89;84,35;84,5;304;25.780
16.03.2020;84,6;84,97;84,57;84,81;323;27.421
15.03.2020;84,67;85,31;84,67;85,23;700;59.620
14.03.2020;85;85,41;84,45;85,12;1.144;97.271
13.03.2020;84,09;84,95;84,02;84,3;755;63.778
12.03.2020;83,6;84,14;83,57;83,71;379;31.857
09.03.2020;83,82;84,41;83,6;83,86;285;23.921
08.03.2020;82,79;83,8;82,77;82,77;1.817;151.315
